,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id
0,focal,0.5775464773178101,0.4178054109042128,[0.70968449 0.33683519 0.20689655],,0.5775464773178101,0.4178054109042128,[0.70968449 0.33683519 0.20689655],10,1,True,300,0.1,0.001,0,2,True,15
0,focal,0.5745725035667419,0.4241150083571961,[0.70601093 0.31791304 0.24842105],,0.5745725035667419,0.4241150083571961,[0.70601093 0.31791304 0.24842105],10,1,True,300,0.1,0.001,1,2,True,15
0,focal,0.5900371670722961,0.41944076047868006,[0.72604474 0.26452906 0.26774848],,0.5900371670722961,0.41944076047868006,[0.72604474 0.26452906 0.26774848],10,1,True,300,0.1,0.001,12,2,True,15
0,focal,0.582304835319519,0.40429655148879995,[0.72014298 0.25785657 0.23489011],,0.582304835319519,0.40429655148879995,[0.72014298 0.25785657 0.23489011],10,1,True,300,0.1,0.001,123,2,True,15
0,focal,0.5763568878173828,0.4238296160183961,[0.71214751 0.2829382  0.27640314],,0.5763568878173828,0.4238296160183961,[0.71214751 0.2829382  0.27640314],10,1,True,300,0.1,0.001,1234,2,True,15
0,focal,0.5826022028923035,0.4232650255170118,[0.71234924 0.29823904 0.2592068 ],,0.5826022028923035,0.4232650255170118,[0.71234924 0.29823904 0.2592068 ],10,1,True,300,0.1,0.0001,0,2,True,16
0,focal,0.5745725035667419,0.43377634046941144,[0.6995585  0.34485072 0.2569198 ],,0.5745725035667419,0.43377634046941144,[0.6995585  0.34485072 0.2569198 ],10,1,True,300,0.1,0.0001,1,2,True,16
0,focal,0.5821561217308044,0.439077751177776,[0.7089634  0.33541667 0.27285319],,0.5821561217308044,0.439077751177776,[0.7089634  0.33541667 0.27285319],10,1,True,300,0.1,0.0001,12,2,True,16
0,focal,0.5854275226593018,0.44007696150871406,[0.71386687 0.31690675 0.28945727],,0.5854275226593018,0.44007696150871406,[0.71386687 0.31690675 0.28945727],10,1,True,300,0.1,0.0001,123,2,True,16
0,focal,0.5892936587333679,0.4208405015297778,[0.72095228 0.28039604 0.26117318],,0.5892936587333679,0.4208405015297778,[0.72095228 0.28039604 0.26117318],10,1,True,300,0.1,0.0001,1234,2,True,16
0,focal,0.580223023891449,0.4278672287175658,[0.71069869 0.32700136 0.24590164],,0.580223023891449,0.4278672287175658,[0.71069869 0.32700136 0.24590164],10,1,True,300,0.1,0.0005,0,2,True,17
0,focal,0.5907806754112244,0.4321046045058841,[0.71829769 0.33935264 0.23866348],,0.5907806754112244,0.4321046045058841,[0.71829769 0.33935264 0.23866348],10,1,True,300,0.1,0.0005,1,2,True,17
0,focal,0.5836431384086609,0.4454006992544794,[0.71044181 0.34883721 0.27692308],,0.5836431384086609,0.4454006992544794,[0.71044181 0.34883721 0.27692308],10,1,True,300,0.1,0.0005,12,2,True,17
0,focal,0.5817100405693054,0.4368942199796518,[0.70777716 0.35120994 0.25169555],,0.5817100405693054,0.4368942199796518,[0.70777716 0.35120994 0.25169555],10,1,True,300,0.1,0.0005,123,2,True,17
0,focal,0.5518215894699097,0.44283864821922164,[0.67698755 0.34375    0.3077784 ],,0.5518215894699097,0.44283864821922164,[0.67698755 0.34375    0.3077784 ],10,1,True,300,0.1,0.0005,1234,2,True,17
